Version,Dataset,Robot,# Episodes,File Size (GB),Robot Morphology,Gripper,Action Space,# RGB Cams,# Depth Cams,# Wrist Cams,Language Annotations,Data Collect Method,Has Suboptimal?,Has Camera Calibration?,Has Proprioception?,Scene Type,Control Frequency,Registered Dataset Name,Citation,Latex Reference,Description,,
v1.0,TOTO Benchmark,Franka,901,127.66,Single Arm,Default,Joint position,1,0,0,None,"The dataset is collected in 3 ways: Human teleoperation -- VR Teleop, trained state-based BC policies, and trajectory replay with noise",Yes,No,Yes,Table Top,30,toto,"@inproceedings{zhou2023train,
  author={Zhou, Gaoyue and Dean, Victoria and Srirama, Mohan Kumar and Rajeswaran, Aravind and Pari, Jyothish and Hatch, Kyle and Jain, Aryan and Yu, Tianhe and Abbeel, Pieter and Pinto, Lerrel and Finn, Chelsea and Gupta, Abhinav},
  booktitle={2023 IEEE International Conference on Robotics and Automation (ICRA)}, 
  title={Train Offline, Test Online: A Real Robot Learning Benchmark}, 
  year={2023},
 }",zhou2023train,"The TOTO Benchmark Dataset contains trajectories of two tasks: scooping and pouring. For scooping, the objective is to scoop material from a bowl into the spoon. For pouring, the goal is to pour some material into a target cup on the table. ",,
v1.0,Language Table,xArm,442226,399.22,Single Arm,Stick for pushing,EEF Position,1,0,0,Natural,Human VR,No,No,Yes,Table Top,10,language_table,"@article{lynch2023interactive,
  title={Interactive language: Talking to robots in real time},
  author={Lynch, Corey and Wahid, Ayzaan and Tompson, Jonathan and Ding, Tianli and Betker, James and Baruch, Robert and Armstrong, Travis and Florence, Pete},
  journal={IEEE Robotics and Automation Letters},
  year={2023},
  publisher={IEEE}
}",lynch2023interactive,Robot pushed blocks of different geometric shapes on table top.,,
v1.0,Columbia PushT Dataset,UR5,122,2.8,Single Arm,3D printed stick,EEF Position,5,0,1,None,Human VR,No,No,Yes,Table Top,10,columbia_cairlab_pusht_real,"@inproceedings{chi2023diffusionpolicy,
	title={Diffusion Policy: Visuomotor Policy Learning via Action Diffusion},
	author={Chi, Cheng and Feng, Siyuan and Du, Yilun and Xu, Zhenjia and Cousineau, Eric and Burchfiel, Benjamin and Song, Shuran},
	booktitle={Proceedings of Robotics: Science and Systems (RSS)},
	year={2023}
}",chi2023diffusionpolicy,"The robot pushes a T-shaped block into a fixed goal pose, and then move to an fixed exit zone.",,
v1.0,Stanford Kuka Multimodal,Kuka iiwa,3000,31.98,Single Arm,,EEF Position,1,0,0,None,Expert Policy,Yes,No,Yes,Table Top,20,stanford_kuka_multimodal_dataset_converted_externally_to_rlds,"@inproceedings{lee2019icra,
  title={Making sense of vision and touch: Self-supervised learning of multimodal representations for contact-rich tasks},
  author={Lee, Michelle A and Zhu, Yuke and Srinivasan, Krishnan and Shah, Parth and Savarese, Silvio and Fei-Fei, Li and  Garg, Animesh and Bohg, Jeannette},
  booktitle={2019 IEEE International Conference on Robotics and Automation (ICRA)},
  year={2019},
  url={https://arxiv.org/abs/1810.10191}
}",lee2019icra,The robot learns to insert differently-shaped pegs into differently-shaped holes with low tolerances (~2mm).,,
v1.0,NYU ROT,xArm,14,0.01,Single Arm,Default,EEF Position,1,0,0,Templated,Human Joystick,No,No,Yes,Table Top,3,nyu_rot_dataset_converted_externally_to_rlds,"@inproceedings{haldar2023watch,
  title={Watch and match: Supercharging imitation with regularized optimal transport},
  author={Haldar, Siddhant and Mathur, Vaibhav and Yarats, Denis and Pinto, Lerrel},
  booktitle={Conference on Robot Learning},
  pages={32--43},
  year={2023},
  organization={PMLR}
}",haldar2023watch,"The robot arm performs diverse manipulation tasks on a tabletop such an box opening, cup stacking, and pouring, among others. ",,
v1.0,Stanford HYDRA,Franka,550,72.48,Single Arm,Default,EEF Position,2,0,1,Templated,Human VR,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",10,stanford_hydra_dataset_converted_externally_to_rlds,"@article{belkhale2023hydra,
 title={HYDRA: Hybrid Robot Actions for Imitation Learning},
 author={Belkhale, Suneel and Cui, Yuchen and Sadigh, Dorsa},
 journal={arxiv},
 year={2023}
}",belkhale2023hydra,The robot performs the following tasks in corresponding environment: making a cup of coffee using the keurig machine, making a toast using the oven, sorting dishes onto the dish rack.
v1.0,Austin BUDS,Franka,50,1.49,Single Arm,Default,EEF Position,2,0,1,None,Human Spacemouse,No,No,Yes,Table Top,20,austin_buds_dataset_converted_externally_to_rlds,"@article{zhu2022bottom,
  title={Bottom-Up Skill Discovery From Unsegmented Demonstrations for Long-Horizon Robot Manipulation},
  author={Zhu, Yifeng and Stone, Peter and Zhu, Yuke},
  journal={IEEE Robotics and Automation Letters},
  volume={7},
  number={2},
  pages={4126--4133},
  year={2022},
  publisher={IEEE}
}",zhu2022bottom,"The robot is trying to solve a long-horizon kitchen task by picking up pot, placing the pot in a plate, and push them together using a picked-up tool.",,
v1.0,NYU Franka Play,Franka,456,5.18,Single Arm,Default,EEF velocity,2,2,0,None,Human VR,No,No,Yes,Kitchen (also toy kitchen),3,nyu_franka_play_dataset_converted_externally_to_rlds,"@article{cui2022play,
  title   = {From Play to Policy: Conditional Behavior Generation from Uncurated Robot Data},
  author  = {Cui, Zichen Jeff and Wang, Yibin and Shafiullah, Nur Muhammad Mahi and Pinto, Lerrel},
  journal = {arXiv preprint arXiv:2210.10047},
  year    = {2022}
}",cui2022play,"The robot interacts with a toy kitchen doing arbitrary tasks. It opens/closes the microwave door, opens/closes the oven door, turns the stove knobs, and moves the pot between the stove and the sink.",,
v1.0,Maniskill,Franka,30000,151.05,Single Arm,Default,EEF Position,2,2,2,Templated,Scripted,Yes,Yes,Yes,Table Top,20,maniskill_dataset_converted_externally_to_rlds,"@inproceedings{gu2023maniskill2,
  title={ManiSkill2: A Unified Benchmark for Generalizable Manipulation Skills},
  author={Gu, Jiayuan and Xiang, Fanbo and Li, Xuanlin and Ling, Zhan and Liu, Xiqiang and Mu, Tongzhou and Tang, Yihe and Tao, Stone and Wei, Xinyue and Yao, Yunchao and Yuan, Xiaodi and Xie, Pengwei and Huang, Zhiao and Chen, Rui and Su, Hao},
  booktitle={International Conference on Learning Representations},
  year={2023}
}",gu2023maniskill2,"The robot interacts with different objects placed on the plane (ground). The tasks include picking an isolated object or an object from the clutter up and moving it to a goal position, stacking a red cube onto a green cube, inserting a peg into the box, assembling kits, plugging a charger into the outlet on the wall, turning on a faucet.",,
v1.0,Furniture Bench,Franka,5100,110,Single Arm,Default,EEF velocity,2,0,1,Templated,Human VR,No,No,Yes,Table Top,10,furniture_bench_dataset_converted_externally_to_rlds,"@inproceedings{heo2023furniturebench,
  title={FurnitureBench: Reproducible Real-World Benchmark for Long-Horizon Complex Manipulation},
  author={Minho Heo and Youngwoon Lee and Doohyun Lee and Joseph J. Lim},
  booktitle={Robotics: Science and Systems},
  year={2023}
}",heo2023furniturebench,"The robot assembles one of 9 3D-printed furniture models on the table, which requires grasping, inserting, and screwing.",,
v1.0,CMU Franka Exploration,Franka,200,0.59,Single Arm,Default,EEF Position,1,0,0,Templated,Expert Policy,Yes,No,No,Kitchen (also toy kitchen),10,cmu_franka_exploration_dataset_converted_externally_to_rlds,"@inproceedings{mendonca2023structured,
              title={Structured World Models from Human Videos},
              author={Mendonca, Russell  and Bahl, Shikhar and Pathak, Deepak},
              journal={RSS},
              year={2023}
            }",mendonca2023structured,"Franka exploring kitchen environment, lifting knife and vegetable and opening cabinet.",,
v1.0,UCSD Kitchen,xArm,150,1.33,Single Arm,Default,EEF Position,1,0,0,Natural,Human VR,No,No,Yes,Kitchen (also toy kitchen),2,ucsd_kitchen_dataset_converted_externally_to_rlds,"@ARTICLE{ucsd_kitchens,
  author = {Ge Yan, Kris Wu, and Xiaolong Wang},
  title = {{ucsd kitchens Dataset}},
  year = {2023},
  month = {August}
}
",ucsd_kitchens,"The dataset offers a comprehensive set of real-world robotic interactions, involving natural language instructions and complex manipulations with kitchen objects.",,
v1.0,UCSD Pick Place,xArm,1355,3.53,Single Arm,Default,EEF velocity,1,0,0,Templated,Expert Policy,Yes,No,Yes,"Table Top, Kitchen (also toy kitchen)",3,ucsd_pick_and_place_dataset_converted_externally_to_rlds,"@preprint{Feng2023Finetuning,
	title={Finetuning Offline World Models in the Real World},
	author={Yunhai Feng, Nicklas Hansen, Ziyan Xiong, Chandramouli Rajagopalan, Xiaolong Wang},
	year={2023}
}",Feng2023Finetuning,The robot performs pick and place tasks in table top and kitchen scenes. The dataset contains a variety of visual variations.,,
v1.0,Austin Sailor,Franka,250,18.85,Single Arm,Default,EEF velocity,2,0,1,None,Human Spacemouse,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",20,austin_sailor_dataset_converted_externally_to_rlds,"@inproceedings{nasiriany2022sailor,
      title={Learning and Retrieval from Prior Data for Skill-based Imitation Learning},
      author={Soroush Nasiriany and Tian Gao and Ajay Mandlekar and Yuke Zhu},
      booktitle={Conference on Robot Learning (CoRL)},
      year={2022}
    }",nasiriany2022sailor,"The robot interacts with diverse objects in a toy kitchen. It picks and places food items, a pan, and pot.",,
v1.0,Austin Sirius,Franka,600,6.55,Single Arm,Default,EEF velocity,2,0,1,None,Human Spacemouse,No,No,Yes,Table Top,20,austin_sirius_dataset_converted_externally_to_rlds,"@inproceedings{liu2022robot,
    title = {Robot Learning on the Job: Human-in-the-Loop Autonomy and Learning During Deployment},
    author = {Huihan Liu and Soroush Nasiriany and Lance Zhang and Zhiyao Bao and Yuke Zhu},
    booktitle = {Robotics: Science and Systems (RSS)},
    year = {2023}
}",liu2022robot,"The dataset comprises two tasks, kcup and gear. The kcup task requires opening the kcup holder, inserting the kcup into the holder, and closing the holder. The gear task requires inserting the blue gear onto the right peg, followed by inserting the smaller red gear.",,
v1.0,BC-Z,Google Robot,39350,80.54,Mobile Manipulator,Default,EEF Position,1,0,0,Templated,Human VR,Yes,No,Yes,Table Top,10,bc_z,"@inproceedings{jang2021bc,
title={{BC}-Z: Zero-Shot Task Generalization with Robotic Imitation Learning},
author={Eric Jang and Alex Irpan and Mohi Khansari and Daniel Kappler and Frederik Ebert and Corey Lynch and Sergey Levine and Chelsea Finn},
booktitle={5th Annual Conference on Robot Learning},
year={2021},
url={https://openreview.net/forum?id=8kbp23tSGYv}}",jang2021bc,"The robot attempts picking, wiping, and placing tasks on a diverse set of objects on a tabletop, along with a few challenging tasks like stacking cups on top of each other.",,
v1.0,USC Cloth Sim,Franka,1000,0.25,Single Arm,N/A: Robot agnostic sim data,EEF Position,1,0,0,None,Scripted,No,No,No,"Table Top, Kitchen (also toy kitchen)",10,usc_cloth_sim_converted_externally_to_rlds,"@article{salhotra2022dmfd,
    author={Salhotra, Gautam and Liu, I-Chun Arthur and Dominguez-Kuhne, Marcus and Sukhatme, Gaurav S.},
    journal={IEEE Robotics and Automation Letters},
    title={Learning Deformable Object Manipulation From Expert Demonstrations},
    year={2022},
    volume={7},
    number={4},
    pages={8775-8782},
    doi={10.1109/LRA.2022.3187843}
}",salhotra2022dmfd,The robot manipulates a deformable object (cloth on a tabletop) along a diagonal.,,
v1.0,Tokyo PR2 Fridge Opening,PR2,64,0.35,Single Arm,Default,EEF Position,1,0,0,None,Human VR,Yes,Yes,Yes,Kitchen (also toy kitchen),10,utokyo_pr2_opening_fridge_converted_externally_to_rlds,"@misc{oh2023pr2utokyodatasets,
  author={Jihoon Oh and Naoaki Kanazawa and Kento Kawaharazuka},
  title={X-Embodiment U-Tokyo PR2 Datasets},
  year={2023},
  url={https://github.com/ojh6404/rlds_dataset_builder},
}",oh2023pr2utokyodatasets,The PR2 robot opens fridge.,,
v1.0,Tokyo PR2 Tabletop Manipulation,PR2,192,0.81,Single Arm,Default,EEF Position,1,0,0,None,Human VR,Yes,Yes,Yes,Table Top,10,utokyo_pr2_tabletop_manipulation_converted_externally_to_rlds,"@misc{oh2023pr2utokyodatasets,
  author={Jihoon Oh and Naoaki Kanazawa and Kento Kawaharazuka},
  title={X-Embodiment U-Tokyo PR2 Datasets},
  year={2023},
  url={https://github.com/ojh6404/rlds_dataset_builder},
}",oh2023pr2utokyodatasets,The PR2 robot conducts manipulation for table top object. It conducts pick-and-place of bread and grape and folds cloth.,,
v1.0,Saytap,Unitree A1,20,0.05,Quadrupedal Robot,,Joint position,0,0,0,Natural,Expert Policy,No,No,Yes,"Indoor, on a flat floor",50,utokyo_saytap_converted_externally_to_rlds,"@article{saytap2023,
  author = {Yujin Tang and Wenhao Yu and Jie Tan and Heiga Zen and Aleksandra Faust and
Tatsuya Harada},
  title  = {SayTap: Language to Quadrupedal Locomotion},
  eprint = {arXiv:2306.07580},
  url    = {https://saytap.github.io},
  note   = ""{https://saytap.github.io}"",
  year   = {2023}
}",saytap2023,"A Unitree Go1 robot follows human command in natural language (e.g., ""trot forward slowly"")",,
v1.0,UTokyo xArm PickPlace,xArm,95,1.29,Single Arm,Default,EEF Position,4,0,1,None,Human Puppeteering,No,No,Yes,Table Top,10,utokyo_xarm_pick_and_place_converted_externally_to_rlds,"@misc{matsushima2023weblab,
  title={Weblab xArm Dataset},
  author={Tatsuya Matsushima and Hiroki Furuta and Yusuke Iwasawa and Yutaka Matsuo},
  year={2023},
}",matsushima2023weblab,"The robot picks up a white plate, and then places it on the red plate.",,
v1.0,UTokyo xArm Bimanual,xArm Bimanual,70,0.14,Bi-Manual,Default,EEF Position,1,0,0,None,Human Puppeteering,No,No,Yes,Table Top,10,utokyo_xarm_bimanual_converted_externally_to_rlds,"@misc{matsushima2023weblab,
  title={Weblab xArm Dataset},
  author={Tatsuya Matsushima and Hiroki Furuta and Yusuke Iwasawa and Yutaka Matsuo},
  year={2023},
}",matsushima2023weblab,The robots reach a towel on the table. They also unfold a wrinkled towel.,,
v1.0,Robonet,Multi-Robot,82432,799.91,Single Arm,Default grippers + Weiss gripper (for sawyer),EEF velocity,3,0,0,None,Scripted,Yes,No,Yes,Table Top,1,robo_net,"@inproceedings{dasari2019robonet,
    title={RoboNet: Large-Scale Multi-Robot Learning},
    author={Sudeep Dasari and Frederik Ebert and Stephen Tian and Suraj Nair and Bernadette Bucher and Karl Schmeckpeper and Siddharth Singh and Sergey Levine and Chelsea Finn},
    year={2019},
    eprint={1910.11215},
    archivePrefix={arXiv},
    primaryClass={cs.RO},
    booktitle={CoRL 2019: Volume 100 Proceedings of Machine Learning Research}
}",dasari2019robonet,The robot interacts with the objects in a bin placed in front of it,,
v1.0,Berkeley MVP Data,xArm,480,12.34,Single Arm,Default,Joint position,1,0,1,Templated,Human VR,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",5,berkeley_mvp_converted_externally_to_rlds,"@InProceedings{Radosavovic2022,
  title = {Real-World Robot Learning with Masked Visual Pre-training},
  author = {Ilija Radosavovic and Tete Xiao and Stephen James and Pieter Abbeel and Jitendra Malik and Trevor Darrell},
  booktitle = {CoRL},
  year = {2022}
}",Radosavovic2022,"Basic motor control tasks (reach, push, pick) on table top and toy environments (toy kitchen, toy fridge).",,
v1.0,Berkeley RPT Data,Franka,960,40.64,Single Arm,Default,Joint position,3,0,1,Templated,Scripted,No,No,Yes,Table Top,30,berkeley_rpt_converted_externally_to_rlds,"@article{Radosavovic2023,
  title={Robot Learning with Sensorimotor Pre-training},
  author={Ilija Radosavovic and Baifeng Shi and Letian Fu and Ken Goldberg and Trevor Darrell and Jitendra Malik},
  year={2023},
  journal={arXiv:2306.10007}
}
",Radosavovic2023,"Picking, stacking, destacking, and bin picking with variations in objects.",,
v1.0,KAIST Nonprehensile Objects,Franka,201,11.71,Single Arm,Default,EEF Position,1,0,0,Natural,Expert Policy,Yes,No,Yes,Table Top,10,kaist_nonprehensile_converted_externally_to_rlds,"@article{kimpre,
  title={Pre-and post-contact policy decomposition for non-prehensile manipulation with zero-shot sim-to-real transfer},
  author={Kim, Minchan and Han, Junhyek and Kim, Jaehyung and Kim, Beomjoon},
  booktitle={2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
  year={2023},
  organization={IEEE}
}",kimpre,The robot performs various non-prehensile manipulation tasks in a tabletop environment. It translates and reorients diverse real-world and 3d-printed objects to a target 6dof pose.,,
v1.0,QUT Dynamic Grasping,Franka,812,,Single Arm,Default,EEF Position,3,0,2,None,Scripted,No,No,Yes,Table Top,30,,"@misc{rana2023dgrasp,
author = {Krishan Rana, Ben Burgess-Limerick, Jad Abou-Chakra, Niko S{\""u}nderhauf},
title = {DGrasp: A Large Scale Dataset for Dynamic Grasping of Moving Objects.},
year = {2023}} 
",rana2023dgrasp,The robot grasps an object that moves around continuously and randomly along the XY plane. ,,
v1.0,Stanford MaskVIT Data,Sawyer,9200,76.17,Single Arm,3D printed grippper from https://github.com/robertocalandra/sawyer-printable,EEF Position,1,0,0,None,Scripted,Yes,No,Yes,Table Top,"N/A, actions are run until robot comes to rest near the target position (quasistatic assumption)",stanford_mask_vit_converted_externally_to_rlds,"@inproceedings{gupta2022maskvit,
  title={MaskViT: Masked Visual Pre-Training for Video Prediction},
  author={Agrim Gupta and Stephen Tian and Yunzhi Zhang and Jiajun Wu and Roberto Martín-Martín and Li Fei-Fei},
  booktitle={International Conference on Learning Representations},
  year={2022}
}",gupta2022maskvit,"The robot randomly pushes and picks objects in a bin, which include stuffed toys, plastic cups and toys, etc, and are periodically shuffled.",,
v1.0,LSMO Dataset,Cobotta,50,0.33,Single Arm,Default,EEF velocity,1,0,0,Natural,Expert Policy,No,No,Yes,Table Top,10,tokyo_u_lsmo_converted_externally_to_rlds,"@Article{Osa22,
  author  = {Takayuki Osa},
  journal = {The International Journal of Robotics Research},
  title   = {Motion Planning by Learning the Solution Manifold in Trajectory Optimization},
  year    = {2022},
  number  = {3},
  pages   = {291--311},
  volume  = {41},
}",Osa22,The robot avoids obstacle on the table and reaches the target object.,,
v1.0,DLR Sara Pour Dataset,DLR SARA,100,2.92,Single Arm,Robotiq 2F-85,EEF velocity,1,0,0,None,Expert Policy,Yes,No,Yes,"Table Top, Household objects",10,dlr_sara_pour_converted_externally_to_rlds,"@inproceedings{padalkar2023guiding,
  title={Guiding Reinforcement Learning with Shared Control Templates},
  author={Padalkar, Abhishek and Quere, Gabriel and Steinmetz, Franz and Raffin, Antonin and Nieuwenhuisen, Matthias and Silv{\'e}rio, Jo{\~a}o and Stulp, Freek},
  booktitle={40th IEEE International Conference on Robotics and Automation, ICRA 2023},
  year={2023},
  organization={IEEE}
}",padalkar2023guiding,The robot learns to pour ping-pong balls from a cup held in the end-effector into the cup placed on the table.,,
v1.0,DLR Sara Grid Clamp Dataset,DLR SARA,100,1.65,Single Arm,Robotiq 2F-140,EEF velocity,1,0,0,None,Expert Policy,Yes,No,Yes,"Table Top, Workshop environment",10,dlr_sara_grid_clamp_converted_externally_to_rlds,"@article{padalkar2023guided,
  title={A guided reinforcement learning approach using shared control templates for learning manipulation skills in the real world},
  author={Padalkar, Abhishek and Quere, Gabriel and Raffin, Antonin and Silv{\'e}rio, Jo{\~a}o and Stulp, Freek},
  journal={Research square preprint rs-3289569/v1},
  year={2023}
}",padalkar2023guided,The robot learns to place the grid clamp in the grids on the table.,,
v1.0,DLR Wheelchair Shared Control,DLR EDAN,100,3.09,Single Arm,CLASH hand (https://www.dlr.de/rm/en/desktopdefault.aspx/tabid-8178/#gallery/35438),EEF Position,1,0,0,Templated,Human teleoperation using Shared Control Templates,Yes,No,Yes,"Table Top, shelf ",5,dlr_edan_shared_control_converted_externally_to_rlds,"@inproceedings{vogel_edan_2020,
        title = {EDAN - an EMG-Controlled Daily Assistant to Help People with Physical Disabilities},
        language = {en},
        booktitle = {2020 {IEEE}/{RSJ} {International} {Conference} on {Intelligent} {Robots} and {Systems} ({IROS})},
        author = {Vogel, Jörn and Hagengruber, Annette and Iskandar, Maged and Quere, Gabriel and Leipscher, Ulrike and Bustamante, Samuel and Dietrich, Alexander and Hoeppner, Hannes and Leidner, Daniel and Albu-Schäffer, Alin},
        year = {2020}
}
@inproceedings{quere_shared_2020,
        address = {Paris, France},
        title = {Shared {Control} {Templates} for {Assistive} {Robotics}},
        language = {en},
        booktitle = {2020 {IEEE} {International} {Conference} on {Robotics} and {Automation} ({ICRA})},
        author = {Quere, Gabriel and Hagengruber, Annette and Iskandar, Maged and Bustamante, Samuel and Leidner, Daniel and Stulp, Freek and Vogel, Joern},
        year = {2020},
        pages = {7},
}","vogel_edan_2020, quere_shared_2020",The robot grasps a set of different objects in a table top and a shelf. ,,
